index,url,Muscle,Video,Main Muscle Group,Detailed Muscle Group,Type,Mechanics,Equipment,Difficulty
596,https://www.jefit.com/exercises/35/Dumbbell-One-Arm-Shoulder-Press,https://www.jefit.com/images/exercises/b6.jpg,http://player.vimeo.com/external/160273541.sd.mp4?s=30db3809472b4a770b53187024842ae009eade03&profile_id=164&oauth2_token_id=435967617,Shoulders,Traps,Strength,Compound,Dumbbell,Intermediate
597,https://www.jefit.com/exercises/765/Dumbbell-One-Arm-Shoulder-Press,https://www.jefit.com/images/exercises/b6.jpg,http://player.vimeo.com/external/160273541.sd.mp4?s=30db3809472b4a770b53187024842ae009eade03&profile_id=164&oauth2_token_id=435967617,Shoulders,,Strength,Isolation,Dumbbell,Intermediate
598,https://www.jefit.com/exercises/1146/Dumbbell-One-Arm-Shoulder-Press,https://www.jefit.com/images/exercises/b6.jpg,http://player.vimeo.com/external/160307135.sd.mp4?s=7439662b3de38123897a104ab8e3566592f0b41c&profile_id=164&oauth2_token_id=435967617,Shoulders,,Strength,Compound,Dumbbell,Beginner
599,https://www.jefit.com/exercises/768/Dumbbell-One-Arm-Shoulder-Press-on-Exercise-Ball,https://www.jefit.com/images/exercises/b6.jpg,,Shoulders,,Strength,Isolation,Dumbbell,Intermediate
600,https://www.jefit.com/exercises/608/Dumbbell-One-Arm-Single-Leg-Bicep-Curl-on-Stability-Ball,https://www.jefit.com/images/exercises/b2.jpg,http://player.vimeo.com/external/160297187.sd.mp4?s=f79c9e8eb8e2fae59cb40a0f5004ed29bd614af9&profile_id=164&oauth2_token_id=435967617,Biceps,,Strength,Isolation,Dumbbell,Intermediate
601,https://www.jefit.com/exercises/1026/Dumbbell-One-Arm-Standing-Hammer-Curl,https://www.jefit.com/images/exercises/b2.jpg,http://player.vimeo.com/external/160306941.sd.mp4?s=d8b72e5b6c6b85efd94c0ebadf42df66dda438ee&profile_id=164&oauth2_token_id=435967617,Biceps,,Strength,Isolation,Dumbbell,Beginner
602,https://www.jefit.com/exercises/1324/Dumbbell-One-Arm-Standing-Lateral-Raise,https://www.jefit.com/images/exercises/b6.jpg,http://player.vimeo.com/external/160281296.sd.mp4?s=74ded02262552dfe6ca4621bfec5e2a2406d38dd&profile_id=165&oauth2_token_id=435967617,Shoulders,,Strength,Isolation,Dumbbell,Beginner
603,https://www.jefit.com/exercises/239/Dumbbell-One-Arm-Supinated-Tricep-Extension,https://www.jefit.com/images/exercises/b7.jpg,http://player.vimeo.com/external/160280271.sd.mp4?s=f57e129f60bab6a190bcade4225bec23e47d8704&profile_id=165&oauth2_token_id=435967617,Triceps,,Strength,Isolation,Dumbbell,Intermediate
604,https://www.jefit.com/exercises/245/Dumbbell-One-Arm-Tricep-Extension,https://www.jefit.com/images/exercises/b7.jpg,http://player.vimeo.com/external/160280162.sd.mp4?s=9c311bcafdb0a6ffdac24214f50c392012749f7d&profile_id=164&oauth2_token_id=435967617,Triceps,,Strength,Isolation,Dumbbell,Beginner
605,https://www.jefit.com/exercises/36/Dumbbell-One-Arm-Upright-Row,https://www.jefit.com/images/exercises/b6.jpg,http://player.vimeo.com/external/160273538.sd.mp4?s=be8354706eef86c955c8b76fb62ed0a17aa62556&profile_id=165&oauth2_token_id=435967617,Shoulders,Traps,Strength,Compound,Dumbbell,Intermediate
606,https://www.jefit.com/exercises/1081/Dumbbell-One-Arm-Wrist-Curl,https://www.jefit.com/images/exercises/b4.jpg,http://player.vimeo.com/external/160281027.sd.mp4?s=41a8f9997e177a90bb54987569062ba33adcb96f&profile_id=164&oauth2_token_id=435967617,Forearm,,Strength,Isolation,Bench,Beginner
607,https://www.jefit.com/exercises/1076/Dumbbell-One-Arm-Wrist-Curl,https://www.jefit.com/images/exercises/b4.jpg,http://player.vimeo.com/external/160307035.sd.mp4?s=11cbb88d4c35cff54df9b9ee49ad222de97ecf36&profile_id=164&oauth2_token_id=435967617,Forearm,,Strength,Isolation,Bench,Beginner
608,https://www.jefit.com/exercises/277/Dumbbell-One-Arm-Zottman-Preacher-Curl,https://www.jefit.com/images/exercises/b2.jpg,http://player.vimeo.com/external/160280799.sd.mp4?s=7624b89023ef2584fce1be622768ff6710cf7819&profile_id=165&oauth2_token_id=435967617,Biceps,,Strength,Isolation,Dumbbell,Intermediate
609,https://www.jefit.com/exercises/1043/Dumbbell-Palm-in-Bent-Over-Row,https://www.jefit.com/images/exercises/b1.jpg,http://player.vimeo.com/external/160306976.sd.mp4?s=17d3390c58ba957b7b0de4eed160f9e1474bd052&profile_id=164&oauth2_token_id=435967617,Back,,Strength,Compound,Dumbbell,Intermediate
610,https://www.jefit.com/exercises/123/Dumbbell-Palms-Down-Wrist-Curl,https://www.jefit.com/images/exercises/b4.jpg,http://player.vimeo.com/external/160273686.sd.mp4?s=fd925b3f120ff76ff02eb7b6bf17a3452bf35187&profile_id=164&oauth2_token_id=435967617,Forearm,,Strength,Isolation,Bench,Beginner
611,https://www.jefit.com/exercises/1064/Dumbbell-Palms-in-Bench-Press,https://www.jefit.com/images/exercises/b3.jpg,http://player.vimeo.com/external/160307016.hd.mp4?s=977d67cfda6a2f59e9173a1d036981a1515ab534&profile_id=113&oauth2_token_id=435967617,Chest,,Strength,Compound,Bench,Beginner
612,https://www.jefit.com/exercises/808/Dumbbell-Palms-in-Bent-Over-Row,https://www.jefit.com/images/exercises/b1.jpg,http://player.vimeo.com/external/160305204.hd.mp4?s=69dfa3e4810971764ec43bfff1f7e585ef56d20a&profile_id=119&oauth2_token_id=435967617,Back,Lats,Strength,Compound,Dumbbell,Beginner
613,https://www.jefit.com/exercises/1065/Dumbbell-Palms-in-Incline-Bench-Press,https://www.jefit.com/images/exercises/b3.jpg,http://player.vimeo.com/external/160307022.hd.mp4?s=464c6f3ceb9d634ee01c164ea95e01b07df5cb60&profile_id=113&oauth2_token_id=435967617,Chest,,Strength,Compound,Bench,Beginner
614,https://www.jefit.com/exercises/454/Dumbbell-Palms-In-One-Arm-Press,https://www.jefit.com/images/exercises/b6.jpg,http://player.vimeo.com/external/160281278.hd.mp4?s=23fbe2b42e11cefa3fd9252bf740cb5dd569f7a3&profile_id=113&oauth2_token_id=435967617,Shoulders,Traps,Strength,Compound,Dumbbell,Beginner
615,https://www.jefit.com/exercises/118/Dumbbell-Palms-Up-Wrist-Curl,https://www.jefit.com/images/exercises/b4.jpg,http://player.vimeo.com/external/160273670.sd.mp4?s=49f379eb012a8ecdfa95c640da4793da5bd90487&profile_id=164&oauth2_token_id=435967617,Forearm,,Strength,Isolation,Bench,Beginner
616,https://www.jefit.com/exercises/213/Dumbbell-Plie-Squat,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160273845.hd.mp4?s=0f969cccfd5eeb9cf3d5b174c0de98c2c29ce75a&profile_id=119&oauth2_token_id=435967617,Upper Legs,Hamstrings,Strength,Compound,Dumbbell,Beginner
617,https://www.jefit.com/exercises/653/Dumbbell-Posterior-Fly-on-Stability-Ball,https://www.jefit.com/images/exercises/b6.jpg,http://player.vimeo.com/external/160297441.hd.mp4?s=a832a398f44e2423d49796c4328427ab339ec562&profile_id=119&oauth2_token_id=435967617,Shoulders,,Strength,Isolation,Dumbbell,Intermediate
618,https://www.jefit.com/exercises/274/Dumbbell-Preacher-Curl,https://www.jefit.com/images/exercises/b2.jpg,http://player.vimeo.com/external/160280811.sd.mp4?s=f819320bd60c459f5f2869a59b64254d1a3cd5d8&profile_id=164&oauth2_token_id=435967617,Biceps,,Strength,Isolation,"Dumbbell , Machine - Strength",Beginner
619,https://www.jefit.com/exercises/707/Dumbbell-Preacher-Curl-over-Stability-Ball,https://www.jefit.com/images/exercises/b2.jpg,http://player.vimeo.com/external/160429573.sd.mp4?s=b028661a2690bed36917ec27c545b85309253ec2&profile_id=164&oauth2_token_id=435967617,Biceps,,Strength,Isolation,Dumbbell,Intermediate
620,https://www.jefit.com/exercises/270/Dumbbell-Preacher-Hammer-Curl,https://www.jefit.com/images/exercises/b2.jpg,http://player.vimeo.com/external/160280826.hd.mp4?s=14a0d25dc8fd969c48e66308fa0ddc37c95ac00f&profile_id=119&oauth2_token_id=435967617,Biceps,,Strength,Isolation,Dumbbell,Beginner
621,https://www.jefit.com/exercises/622/Dumbbell-Press-on-Stability-Ball,https://www.jefit.com/images/exercises/b3.jpg,http://player.vimeo.com/external/160297340.sd.mp4?s=cb73cc136c2dd80c261c3327323be8b0ef277d67&profile_id=164&oauth2_token_id=435967617,Chest,,Strength,Isolation,Dumbbell,Intermediate
622,https://www.jefit.com/exercises/381/Dumbbell-Pronated-One-Arm-Wrist-Curl,https://www.jefit.com/images/exercises/b4.jpg,http://player.vimeo.com/external/160281092.sd.mp4?s=3311fb8a795ef852e5f74327a29a85d738e832a2&profile_id=164&oauth2_token_id=435967617,Forearm,,Strength,Isolation,Dumbbell,Intermediate
623,https://www.jefit.com/exercises/427/Dumbbell-Prone-Deltoid-Raise,https://www.jefit.com/images/exercises/b6.jpg,http://player.vimeo.com/external/160273542.hd.mp4?s=d79085b7cd5b4e7c6cf40b616de67ddf4f773c49&profile_id=113&oauth2_token_id=435967617,Shoulders,Traps,Strength,Isolation,Dumbbell,Intermediate
624,https://www.jefit.com/exercises/266/Dumbbell-Prone-Incline-Bicep-Curl,https://www.jefit.com/images/exercises/b2.jpg,http://player.vimeo.com/external/160280794.sd.mp4?s=c0242cfe09224ee1ce6e8b81b19e9dd2ba3e52e3&profile_id=164&oauth2_token_id=435967617,Biceps,,Strength,Isolation,Dumbbell,Intermediate
625,https://www.jefit.com/exercises/1020/Dumbbell-Prone-Incline-Hammer-Curl,https://www.jefit.com/images/exercises/b2.jpg,http://player.vimeo.com/external/160306945.hd.mp4?s=2c85d81f3676bbc7340049004a94f4d7effdf766&profile_id=113&oauth2_token_id=435967617,Biceps,,Strength,Isolation,Bench,Beginner
